input-text,id,output-text,input-evy,input-python,output-evy
"Write an if-else statement in Evy that checks if a score is excellent, great, or needs practice.
",manual_79,,,,"score := 85
if score >= 90
    print ""Excellent!""
else if score >= 80
    print ""Great job!""
else
    print ""Keep practicing.""
end
"
"How do I declare a map in Evy and access its values?
",manual_211,,,,"person := {name: ""Alice"" age: 30 city: ""New York""}
print person[""name""] // Prints: Alice
print person[""age""] // Prints: 30
"
"How do I clear the screen in Evy?
",manual_204,,,,"cls
"
"How can I generate a random integer in Evy?
",manual_33,"rand
",,,
"What is the purpose of the 'panic' function?
",manual_17,"anic prints the given error message and terminates the program immediately. It is used to report unrecoverable errors.
",,,
"Can you fix this code for me?
",manual_240,,,,"func minOperationsMaxProfit:num customers:[]num boardingCost:num runningCost:num
    profit := 0
    preprofit := 0
    cuscount := customers[0]
    j := 1
    i := 1
    roundcus := 0
    if boardingCost == 4 and runningCost == 4
        return 5
    end
    if boardingCost == 43 and runningCost == 54
        return 993
    end
    if boardingCost == 92 and runningCost == 92
        return 243550
    end
    while cuscount != 0 or i != (len customers)
        if cuscount > 3
            roundcus = roundcus + 4
            preprofit = profit
            profit = (roundcus * boardingCost) - (j * runningCost)
            if preprofit >= profit
                break
            end
            j = j + 1
            cuscount = cuscount - 4
            if i < (len customers)
                cuscount = cuscount + customers[i]
                i = i + 1
            end
        else
            roundcus = roundcus + cuscount
            preprofit = profit
            profit = (roundcus * boardingCost) - (j * runningCost)
            if preprofit >= profit
                break
            end
            cuscount = 0
            j = j + 1
            if i < (len customers)
                cuscount = cuscount + customers[i]
                i = i + 1
            end
        end
    end
    if profit < 0
        return -1
    else
        return j - 1
    end
end

n := [10 10 6 4 7]
b := 3
r := 8
print (minOperationsMaxProfit n b r)

"
"How do I write a multi-line comment in Evy?
",manual_71,"/* 
This is a 
multi-line comment 
*/
",,,
"When is the 'key' event handler called?
",manual_64,"key is called when a key on the keyboard is pressed.
",,,
"How can I use recursion in Evy to calculate the sum of digits of a number?
",manual_219,,,,"func sum_digits:num n:num
    if n < 10
        return n
    else
        return (n % 10) + (sum_digits (floor n/10))
    end
end

print (sum_digits 12345) // Prints: 15
"
"Can you convert this python to evy for me?
",manual_147,,,"def rob(nums):
    """"""
    Calculates the maximum amount of money a robber can steal from a row of houses
    without robbing adjacent houses.

    Args:
        nums: A list of non-negative integers representing the amount of money in each house.

    Returns:
        The maximum amount of money the robber can steal.
    """"""
    n = len(nums)
    if n == 0:
        return 0  # Handle the case of an empty house list
    if n == 1:
        return nums[0]  # If there's only one house, take it

    # Initialize variables to track the maximum amount stolen at the previous two houses
    prev_max = nums[0]
    curr_max = max(nums[0], nums[1])

    for i in range(2, n):
        # Update current max using previous two max values
        temp = curr_max
        curr_max = max(curr_max, prev_max + nums[i])
        prev_max = temp

    return curr_max  # Return the maximum amount stolen


def test():
    assert rob([1, 2, 3, 1]) == 4
    assert rob([2, 7, 9, 3, 1]) == 12

test()


","func rob:num nums:[]num
    n := len nums
    max_steal := nums
    if n > 1
        max_steal[1] = max nums[0] nums[1]
    end
    for i := range 2 n
        max_steal[i] = max (max_steal[i - 1]) (max_steal[i - 2] + nums[i])
    end
    return max_steal[-1]
end



func test
    assert 4==(rob [1 2 3 1])
    assert 12==(rob [2 7 9 3 1])
end
"
"How do I find the index of a specific element in an array?
",manual_226,"func find_index:num arr:[]num elem:num
    for i := range arr
        if arr[i] == elem
            return i
        end
    end
    return -1
end

numbers := [1 2 3 4 5]
index := find_index numbers 3
print index // Prints: 2prompt How do I check if an array contains a specific element?output func contains:bool arr:[]num elem:num
    for i := range arr
        if arr[i] == elem
            return true
        end
    end
    return false
end

numbers := [1 2 3 4 5]
print (contains numbers 3) // Prints: true
print (contains numbers 6) // Prints: false
",,,
"What function draws a circle in Evy?
",manual_50,"circle
",,,
"Can you convert this python to evy for me?
",manual_153,,,"age = 25
if age >= 18:
    print(""You are an adult."")
else:
    print(""You are a minor."")
count = 0
while count < 5:
    print(count)
    count += 1


","age := 25
if (age >= 18)
    print (""You are an adult."")
 else
    print (""You are a minor."")
end
count := 0
while (count < 5)
    print (count)
    count = count + 1
end
"
"What is the 'sleep' function used for?
",manual_15,"sleep pauses the program for the given number of seconds.
",,,
"How do I remove an element from an array at a specific index?
",manual_229,,,,"func remove_at_index:[]num arr:[]num idx:num
    if idx < 0 or idx >= (len arr)
        return arr
    end
    return arr[:idx] + arr[idx + 1:]
end

numbers := [1 2 3 4 5]
numbers = remove_at_index numbers 2
print numbers // Prints: [1 2 4 5]

"
"Can you convert this python to evy for me?
",manual_123,,,"def two_sum(nums, target):
    num_dict = {}
    for i, v in enumerate(nums):
        if str(target - v) in num_dict:
            return [num_dict[str(v)], i]
        num_dict[str(v)] = i
    return []

def test():
    assert two_sum([2, 7, 11, 15], 9) == [0, 1]
    assert two_sum([3, 2, 4], 6) == [1, 2]
    assert two_sum([3, 3], 6) == [0, 1]


","func twosum:[]num nums:[]num target:num
    m:{}num
    for i := range (len nums)
        v := nums[i]
        if has m (sprintf ""%v"" (target - v))
            return [m[sprintf ""%v"" (target - v)] i]
        end
        m[sprintf ""%v"" v] = i
    end
    return []
end

func test
    assert [0 1]==(twosum [2 7 11 15] 9)
    assert [1 2]==(twosum [3 2 4] 6)
    assert [0 1]==(twosum [3 3] 6)
end
"
"Can you convert this python to evy for me?
",manual_178,,,"def greet(name):
    print(""Hello,"", name)
greet(""Alice"")

def concat(a: str, b: str) -> str:
    return a + b

def calculate_area(length, width):
    area = length * width
    return area


a = ""foo""
b = ""bar""
print(concat(a, b))
result = calculate_area(5, 8)
print(""Area of the rectangle:"", result)

","func greet name:string
    print (""Hello,"") (name)
end

func concat:string a:string b:string
    return (a + b)
end

func calculateArea:num length:num _width:num
    area := (length * _width)
    return area
end

greet (""Alice"")
a := ""foo""
b := ""bar""
print (concat (a) (b))
result := calculateArea (5) (8)
print (""Area of the rectangle:"") (result)
"
"How do I write a for loop to iterate 10 times in Evy?
",manual_81,,,,"for i := range 10
    print i
end
"
"What are built-ins in Evy?
",manual_1,"Built-ins in Evy are pre-defined functions and events that allow for user interaction, graphics, animation, mathematical operations, and more.
",,,
"How do I find the product of all numbers in an array?
",manual_233,,,,"func product_array:num arr:[]num
    product := 1
    for n := range arr
        product = product * n
    end
    return product
end

numbers := [1 2 3 4 5]
product := product_array numbers
print product // Prints: 120

"
"What function splits a string into a list of substrings based on a separator in Evy?
",manual_25,"split
",,,
"How can I convert a string to a number in Evy?
",manual_18,"str2num
",,,
"How do I use an if-else statement to check if a number is even or odd in Evy?
",manual_203,,,,"number := 5
if number % 2 == 0
    print ""Even""
else
    print ""Odd""
end

"
"How do I use a `for` loop to iterate through the elements of a map in Evy?
",manual_216,,,,"person := {name:""Alice"" age:30 city:""New York""}
for key := range person
    value := person[key]
    print key "":"" value
end

"
"What function sets the font properties for text in Evy?
",manual_62,"font
",,,
"Can you fix this code for me?
",manual_242,,"func maximalRectangle:num matrix:[][]string
    if matrix == [] or (len matrix) == 0
        return 0
    end
    lsRow := len matrix
    lsCol := len matrix[0]
    left := [0] * lsCol
    right := [lsCol] * lsCol
    height := [0] * lsCol
    maxA := 0
    for i := range lsRow
        currLeft := 0
        currRight := lsCol
        for j := range lsCol
            if matrix[i][j] == ""1""
                height[j] = height[j] + 1
            else
                height[j] = 0
            end
        end
        for j := range lsCol
            if matrix[i][j] == ""1""
                left[j] = max left[j] currLeft
            else
                left[j] = 0
                currLeft = j + 1
            end
        end
        for j := range (lsCol - 1) -1 -1
            if matrix[i][j] == ""1""
                right[j] = min right[j] currRight
            else
                right[j] = lsCol
                currRight = j
            end
        end
        for j := range lsCol
            maxA = max maxA ((right[j] - left[j]) * height[j])
        end
    end
    return maxA
end

func test
    assert 6 (maximalRectangle [[""1"" ""0"" ""1"" ""0"" ""0""] [""1"" ""0"" ""1"" ""1"" ""1""] [""1"" ""1"" ""1"" ""1"" ""1""] [""1"" ""0"" ""0"" ""1"" ""0""]])
    assert 0 (maximalRectangle [[""0"" ""0""] [""0"" ""0""]])
    assert 1 (maximalRectangle [[""1""]])
    assert 4 (maximalRectangle [[""1"" ""1"" ""1"" ""1""] [""1"" ""1"" ""1"" ""1""] [""1"" ""1"" ""1"" ""1""]])
",,"func maximalRectangle:num matrix:[][]string
    if matrix == [] or (len matrix) == 0
        return 0
    end
    lsRow := len matrix
    lsCol := len matrix[0]
    left := [0] * lsCol
    right := [lsCol] * lsCol
    height := [0] * lsCol
    maxA := 0
    for i := range lsRow
        currLeft := 0
        currRight := lsCol
        for j := range lsCol
            if matrix[i][j] == ""1""
                height[j] = height[j] + 1
            else
                height[j] = 0
            end
        end
        for j := range lsCol
            if matrix[i][j] == ""1""
                left[j] = max left[j] currLeft
            else
                left[j] = 0
                currLeft = j + 1
            end
        end
        for j := range (lsCol - 1) -1 -1
            if matrix[i][j] == ""1""
                right[j] = min right[j] currRight
            else
                right[j] = lsCol
                currRight = j
            end
        end
        for j := range lsCol
            maxA = max maxA ((right[j] - left[j]) * height[j])
        end
    end
    return maxA
end

func test
    assert 6 (maximalRectangle [[""1"" ""0"" ""1"" ""0"" ""0""] [""1"" ""0"" ""1"" ""1"" ""1""] [""1"" ""1"" ""1"" ""1"" ""1""] [""1"" ""0"" ""0"" ""1"" ""0""]])
    assert 0 (maximalRectangle [[""0"" ""0""] [""0"" ""0""]])
    assert 1 (maximalRectangle [[""1""]])
    assert 12 (maximalRectangle [[""1"" ""1"" ""1"" ""1""] [""1"" ""1"" ""1"" ""1""] [""1"" ""1"" ""1"" ""1""]])
end
test

"
"How do I use the 'sleep' function to pause the program for 2 seconds in Evy?
",manual_210,"How do I use the 'sleep' function to pause the program for 2 seconds in Evy?
",,,
"Can you convert this python to evy for me?
",manual_140,,,"fruits = [""apple"", ""banana"", ""orange""]
print(fruits[0])
fruits.append(""grape"")
print(fruits)


","fruits := [""apple"" ""banana"" ""orange""]
print (fruits[0])
fruits =  (fruits) + ([""grape""])
print (fruits)
"
"Can you convert this python to evy for me?
",manual_155,,,"def check_inclusion(s1, s2):
    """"""
    Checks if one string (s1) is a permutation of a substring of another string (s2).

    Args:
        s1: The potential permutation string.
        s2: The string to search within.

    Returns:
        True if s1 is a permutation of a substring of s2, False otherwise.
    """"""
    if len(s1) > len(s2):
        return False

    s1_count = {}
    s2_count = {}

    # Initialize character counts for the first window
    for i in range(len(s1)):
        s1_count[s1[i]] = s1_count.get(s1[i], 0) + 1
        s2_count[s2[i]] = s2_count.get(s2[i], 0) + 1

    l = 0  # Left pointer of the sliding window

    for r in range(len(s1), len(s2)):  # Iterate with the right pointer
        if s1_count == s2_count:
            return True  # Permutation found

        # Update counts for the sliding window
        s2_count[s2[r]] = s2_count.get(s2[r], 0) + 1  # Add the new character
        s2_count[s2[l]] -= 1                         # Remove the old character
        if s2_count[s2[l]] == 0:
            del s2_count[s2[l]]
        l += 1  # Move the window

    return s1_count == s2_count  # Check one last time after the loop


def test():
    assert check_inclusion(""ab"", ""ab"") == True
    assert check_inclusion(""ab"", ""eidbaooo"") == True
    assert check_inclusion(""ab"", ""eidboaoo"") == False
    assert check_inclusion(""ab"", ""a"") == False
    # Additional test case to catch the issue
    assert check_inclusion(""adc"", ""dcda"") == True

test()


","func checkInclusion:bool s1:string s2:string
    if (len s1) > (len s2)
        return false
    end
    s1count:{}num
    s2count:{}num
    for i := range (len s1)
        if !(has s1count s1[i])
            s1count[s1[i]] = 0
            s2count[s2[i]] = 0
        end
        s1count[s1[i]] = s1count[s1[i]] + 1
        s2count[s2[i]] = s2count[s2[i]] + 1
    end
    l := 0
    while l + (len s1) < (len s2)
        if s1count == s2count
            return true
        end
        start := s2[l] // The character at the start of the current window. To be removed
        finish := s2[l + (len s1)] // the character after the end of the current window. To be added
        s2count[start] = s2count[start] - 1
        if s2count[start] == 0
            del s2count start
        end
        if !(has s2count finish)
            s2count[finish] = 0
        end
        s2count[finish] = s2count[finish] + 1
        l = l + 1
    end
    return s1count == s2count
end

func test
    assert true==(checkInclusion ""ab"" ""ab"")
    assert true==(checkInclusion ""ab"" ""eidbaooo"")
    assert false==(checkInclusion ""ab"" ""eidboaoo"")
    assert false==(checkInclusion ""ab"" ""a"")
end
"
"How can I print a string representation of arguments without a newline in Evy?
",manual_22,,,,"sprint
"
"What is the coordinate system used for drawing in Evy on the web?
",manual_46,"Evy uses a coordinate system similar to the Cartesian coordinate system, with the horizontal dimension called the x-axis and the vertical dimension called the y-axis.
",,,
"What are the available event handlers in Evy?
",manual_63,"key, down, up, move, animate, input
",,,
"Show me an example of an arithmetic expression in Evy.
",manual_76,"result := 5 * (3 + 3.1415) - 2 / 7.6
print result
",,,
"Can you convert this python to evy for me?
",manual_124,,,"message = ""Hello, Python!""
counter = 42
price = 19.99
is_active = True
print(message, counter, price, is_active)


","message := ""Hello, Python!""
counter := 42
price := 19.99
is_active := true
print (message) (counter) (price) (is_active)
"
"How can I clear the canvas in Evy?
",manual_53,,,,"clear
"
"How can I learn more about the formal definition of Evy syntax?
",manual_3,"See the [Language Specification](spec.md).
",,,
"How does the 'printf' function work in Evy?
",manual_9,"rintf stands for print formatted. It prints its arguments to the output area according to a format string, which contains specifiers that start with a percent sign '%' to indicate how and where to print the remaining arguments.
",,,
"Which function returns the type of an argument as a string value in Evy?
",manual_12,"of
",,,
"Can you convert this python to evy for me?
",manual_165,,,"def fibonacci(n):
    """"""Calculates the nth Fibonacci number iteratively.""""""
    if n <= 1:
        return n
    a, b = 0, 1
    for _ in range(n - 1):  # Loop n - 1 times since we already have the first two numbers
        a, b = b, a + b   # Elegant simultaneous assignment for updating
    return b


def test():
    """"""Tests the fibonacci function.""""""
    assert fibonacci(2) == 1
    assert fibonacci(3) == 2
    assert fibonacci(4) == 3

test()

","func fibonacci:num n:num
    zero := 0
    one := 1
    for range 1 n
        tmp := one
        one = one + zero
        zero = tmp
    end
    return one
end

func test
    assert 1==(fibonacci 2)
    assert 2==(fibonacci 3)
    assert 3==(fibonacci 4)
end
"
"How would I write a logical expression in Evy?
",manual_77,,,,"flag := true and false or !(5 > 3)
print flag
"
"Where can I find examples to understand Evy syntax intuitively?
",manual_4,"See [syntax by example](syntax_by_example.md).
",,,
"Convert this into evy:
",manual_243,,,"class Solution:
    def minOperationsMaxProfit(self, customers, boardingCost, runningCost):
        profit =0
        preprofit=0
        cuscount = customers[0] 
        j=1
        i=1
        roundcus =0
        if boardingCost ==4 and runningCost ==4:
            return 5
        if boardingCost ==43 and runningCost ==54:
            return 993
        if boardingCost ==92 and runningCost ==92:
            return 243550
        while cuscount != 0 or i!=len(customers):
          if cuscount > 3:
            roundcus +=4
            preprofit = profit
            profit = (roundcus*boardingCost)-(j*runningCost)
            if preprofit >= profit:
              break
            j+=1
            cuscount-=4
            if i < len(customers):
              cuscount += customers[i]
              i+=1
          else:
            roundcus+=cuscount
            preprofit = profit
            profit = (roundcus*boardingCost)-(j*runningCost)
            if preprofit >= profit:
              break

            cuscount = 0
            j+=1
            if i < len(customers):
              cuscount += customers[i]
              i+=1
        if profit < 0:
          return (-1)
        else:
          return (j-1)
  
s1 = Solution()
num = [10,10,6,4,7]
b = 3
r = 8
print(s1.minOperationsMaxProfit(num,b,r))
        
    

","func minOperationsMaxProfit:num customers:[]num boardingCost:num runningCost:num
    profit := 0
    preprofit := 0
    cuscount := customers[0]
    j := 1
    i := 1
    roundcus := 0
    if boardingCost == 4 and runningCost == 4
        return 5
    end
    if boardingCost == 43 and runningCost == 54
        return 993
    end
    if boardingCost == 92 and runningCost == 92
        return 243550
    end
    while cuscount != 0 or i != (len customers)
        if cuscount > 3
            roundcus = roundcus + 4
            preprofit = profit
            profit = (roundcus * boardingCost) - (j * runningCost)
            if preprofit >= profit
                break
            end
            j = j + 1
            cuscount = cuscount - 4
            if i < (len customers)
                cuscount = cuscount + customers[i]
                i = i + 1
            end
        else
            roundcus = roundcus + cuscount
            preprofit = profit
            profit = (roundcus * boardingCost) - (j * runningCost)
            if preprofit >= profit
                break
            end
            cuscount = 0
            j = j + 1
            if i < (len customers)
                cuscount = cuscount + customers[i]
                i = i + 1
            end
        end
    end
    if profit < 0
        return -1
    else
        return j - 1
    end
end

n := [10 10 6 4 7]
b := 3
r := 8
print (minOperationsMaxProfit n b r)

"
"Can you convert this python to evy for me?
",manual_154,,,"x = 10
y = 5
print(x + y)
print(x - y)
print(x * y)
print(x / y)
print(x % y)


","x := 10
y := 5
print ((x + y))
print ((x - y))
print ((x * y))
print ((x / y))
print ((x % y))
"
"Can you convert this python to evy for me?
",manual_171,,,"def will_it_fly(q,w):
    '''
    Write a function that returns True if the object q will fly, and False otherwise.
    The object q will fly if it's balanced (it is a palindromic list) and the sum of its elements is less than or equal the maximum possible weight w.

    Example:
    will_it_fly([1, 2], 5) âžž False
    # 1+2 is less than the maximum possible weight, but it's unbalanced.

    will_it_fly([3, 2, 3], 1) âžž False
    # it's balanced, but 3+2+3 is more than the maximum possible weight.

    will_it_fly([3, 2, 3], 9) âžž True
    # 3+2+3 is less than the maximum possible weight, and it's balanced.

    will_it_fly([3], 5) âžž True
    # 3 is less than the maximum possible weight, and it's balanced.
    '''

    if sum(q) > w:
        return False

    i, j = 0, len(q)-1
    while i
","// Write a function that returns True if the object q will fly, and False
// otherwise. The object q will fly if it's balanced (it is a palindromic
// list) and the sum of its elements is less than or equal the maximum
// possible weight w.
//
// Example:
// willFly [1 2] 5 âžž False
// 1+2 is less than the maximum possible weight, but it's unbalanced.
//
// willFly [3 2 3] 1 âžž False
// # it's balanced, but 3+2+3 is more than the maximum possible weight.
//
// willFly [3 2 3] 9 âžž True
// # 3+2+3 is less than the maximum possible weight, and it's balanced.
//
// willFly [3] 5 âžž True
// # 3 is less than the maximum possible weight, and it's balanced.
func willFly:bool nums:[]num w:num
    length := len nums
    if length == 0
        return false
    end
    sum := 0
    for n := range nums
        sum = sum + n
    end
    if sum > w
        return false
    end
    for i := range (floor length/2)
        if nums[i] != nums[-i - 1]
            return false
        end
    end
    return true
end

func test
    assert true==(willFly [3 2 3] 9)
    assert false==(willFly [1 2] 5)
    assert true==(willFly [3] 5)
    assert false==(willFly [3 2 3] 1)
    assert false==(willFly [1 2 3] 6)
    assert true==(willFly [5] 5)
end


"
"What does the 'has' function do for maps in Evy?
",manual_13,"as returns whether a map has a given key or not.
",,,
"What is the purpose of the 'cls' function?
",manual_8,"cls clears the output area of all printed text.
",,,
"Give an example of using typeof to check the type of a variable in Evy.
",manual_88,"if typeof y == ""string"" {
    print y
}
",,,
"How can I calculate the natural logarithm of a number in Evy?
",manual_41,"log
",,,
"Can you convert this to evy for me?
",manual_239,,,"from typing import List

class Solution:
    def runningSum(self, nums: List[int]) -> List[int]:
        if nums is None or len(nums) == 0:
            return nums
        for i in range(1, len(nums)):
            nums[i] += nums[i-1]
        return nums

","func runningSum:[]num nums:[]num
    if nums == []
        return nums
    end
    for i := range 1 (len nums)
        nums[i] = nums[i] + nums[i - 1]
    end
    return nums
end

func test
    assert [1 3 6 10] (runningSum [1 2 3 4])
    assert [1 2 3 4 5] (runningSum [1 1 1 1 1])
    assert [0 1 3 6 10] (runningSum [0 1 2 3 4])
    assert [] (runningSum [])
end
test
"
"Can you convert this python to evy for me?
",manual_166,,,"def length_of_longest_substring(s):
    seen = {}
    longest_substring = 0
    start_idx = 0
    for i, elem in enumerate(s):
        if elem in seen:
            start_idx = max(start_idx, seen[elem] + 1)
        seen[elem] = i
        longest_substring = max(longest_substring, i - start_idx + 1)
    return longest_substring

def test():
    assert length_of_longest_substring(""abcabcbb"") == 3
    assert length_of_longest_substring(""bbbbb"") == 1
    assert length_of_longest_substring(""pwwkew"") == 3

test()

","func lengthOfLongestSubstring:num s:string
    seen:{}num
    longestsubstring := 0
    startIdx := 0
    for i := range (len s)
        elem := s[i]
        if has seen elem
            startIdx = max startIdx (seen[elem] + 1)
        end
        seen[elem] = i
        longestsubstring = max longestsubstring (i - startIdx + 1)
    end
    return longestsubstring
end

func test
    assert 3==(lengthOfLongestSubstring ""abcabcbb"")
    assert 1==(lengthOfLongestSubstring ""bbbbb"")
    assert 3==(lengthOfLongestSubstring ""pwwkew"")
end
"
"What is the difference between 'stroke' and 'fill' in Evy?
",manual_58,"stroke sets the color of the outline of shapes, while fill sets the color of the interior.
",,,
"How do I find the sum of all numbers in an array?
",manual_232,,,,"func sum_array:num arr:[]num
    sum := 0
    for n := range arr
        sum = sum + n
    end
    return sum
end

numbers := [1 2 3 4 5]
sum := sum_array numbers
print sum // Prints: 15

"
"How do I find the index of a specific element in an array?
",manual_227,,,,"func find_index:num arr:[]num elem:num
    for i := range arr
        if arr[i] == elem
            return i
        end
    end
    return -1
end

numbers := [1 2 3 4 5]
idx := find_index numbers 3
print idx // Prints: 2

"
"What does the 'down' event handler do?
",manual_65,"down is called when the pointer is pressed down.
",,,
"Give me an example of a while loop that counts from 0 to 4 in Evy.
",manual_80,,,,"count := 0
while count < 5
    print count
    count = count + 1  // Or use the shorthand: count += 1
end"
"Can you convert this python to evy for me?
",manual_179,,,"def contains_duplicate(nums):
    seen = set()
    for num in nums:
        if num in seen:
            return True
        seen.add(num)
    return False

def test():
    assert contains_duplicate([1, 2, 3, 1])
    assert not contains_duplicate([1, 2, 3, 4])
    assert contains_duplicate([1, 1, 1, 3, 3, 4, 3, 2, 4, 2])

test()


","func containsDuplicate:bool nums:[]num
    seen := {}
    for ii := range nums
        i := sprint ii
        if has seen i
            return true
        end
        seen[i] = true
    end
    return false
end

func test
    assert true==(containsDuplicate [1 2 3 1])
    assert false==(containsDuplicate [1 2 3 4])
    assert true==(containsDuplicate [1 1 1 3 3 4 3 2 4 2])
end
"
"Write a function named 'greet' in Evy that prints a greeting with a given name.
",manual_84,"func greet name:string
    print ""Hello, "" + name + ""!""
end",,,
"Can you convert this python to evy for me?
",manual_186,,,"x = 10
y = 5
print(x > y)
print(x < y)
print(x == y)
print(x != y)
print(x > 5 and y < 10)
print(x > 5 or y > 10)
print(not (x > 5))


","x := 10
y := 5
print ((x > y))
print ((x < y))
print ((x == y))
print ((x != y))
print ((x > 5 and y < 10))
print ((x > 5 or y > 10))
print ((!((x > 5))))
"
"Can you convert this python to evy for me?
",manual_193,,,"def fizzbuzz(n):
    ans = []
    for i in range(1, n+1):
        s = """"
        if i % 3 == 0:
            s += ""Fizz""
        if i % 5 == 0:
            s += ""Buzz""
        if not s:
            s = str(i)
        ans.append(s)
    return ans

def test():
    assert fizzbuzz(1) == [""1""]
    assert fizzbuzz(3) == [""1"", ""2"", ""Fizz""]
    assert fizzbuzz(5) == [""1"", ""2"", ""Fizz"", ""4"", ""Buzz""]
    assert fizzbuzz(15) == [""1"", ""2"", ""Fizz"", ""4"", ""Buzz"", ""Fizz"", ""7"", ""8"", ""Fizz"", ""Buzz"", ""11"", ""Fizz"", ""13"", ""14"", ""FizzBuzz""]

test()

","func fizzbuzz:[]string n:num
    ans:[]string
    for i := range 1 (n + 1)
        s:string
        if i % 3 == 0
            s = s + ""Fizz""
        end
        if i % 5 == 0
            s = s + ""Buzz""
        end
        if s == """"
            s = sprintf ""%v"" i
        end
        ans = ans + [s]
    end
    return ans
end

func test
    assert [""1"" ""2"" ""Fizz""]==(fizzbuzz 3)
    assert [""1"" ""2"" ""Fizz"" ""4"" ""Buzz""]==(fizzbuzz 5)
    assert [""1"" ""2"" ""Fizz"" ""4"" ""Buzz"" ""Fizz"" ""7"" ""8"" ""Fizz"" ""Buzz"" ""11"" ""Fizz"" ""13"" ""14"" ""FizzBuzz""]==(fizzbuzz 15)
end
"
"How do I create a map in Evy and add a key-value pair?
",manual_200,,,,"person := {name: ""Alice"" age: 30}
print person // Prints: {name: ""Alice"" age: 30}
person[""city""] = ""New York""
print person // Prints: {name: ""Alice"" age: 30 city: ""New York""}
"
"Implement a recursive function in Evy to reverse a string.
",manual_217,,,,"func reverse_string:string str:string
    if (len str) == 0
        return """"
    else
        return (reverse_string str[1:]) + str[0]
    end
end

txt := ""Evy""
print (reverse_string txt) // Prints: yvE
"
"How do I convert a string to a number in Evy?
",manual_202,,,,"str := ""123""
number := str2num str
print number // Prints: 123
"
"Can you convert this python to evy for me?
",manual_108,,,"def max_profit(prices):
    """"""Calculates the maximum profit from buying and selling a stock.

    Args:
        prices: A list of integers representing the stock prices each day.

    Returns:
        The maximum profit that can be achieved.
    """"""
    max_profit = 0       # Initialize maximum profit to 0
    lowest_price = prices[0]  # Start with the first price as the lowest

    for price in prices:
        max_profit = max(max_profit, price - lowest_price)  # Update max profit if we find a better one
        lowest_price = min(lowest_price, price)  # Update the lowest price so far

    return max_profit

# Test Cases
def test_max_profit():
    assert max_profit([7, 1, 5, 3, 6, 4]) == 5
    assert max_profit([7, 6, 4, 3, 1]) == 0

# Run the tests if this script is executed directly
if __name__ == ""__main__"":
    test_max_profit()


","func maxProfit:num prices:[]num
    mprofit := 0
    lowest := prices[0]
    for price := range prices
        mprofit = max mprofit (price - lowest)
        lowest = min lowest price
    end
    return mprofit
end

func test
    assert 5==(maxProfit [7 1 5 3 6 4])
    assert 0==(maxProfit [7 6 4 3 1])
end
"
"Give me an example of a single-line comment in Evy.
",manual_70,,,,"// This is a single-line comment
"
"Write a recursive function in Evy to print all the elements of a num array.
",manual_218,,,,"func print_array arr:[]num
    if (len arr) > 0
        print arr[0]
        print_array arr[1:]
    end
end

numbers := [1 2 3 4]
print_array numbers // Prints: 1\n2\n3\n4\n

"
"How do I draw an ellipse in Evy?
",manual_57,"llipse
",,,
"How do I check if an array contains a specific element?
",manual_228,,,,"func contains:bool arr:[]num val:num
    for elem := range arr
        if elem == val
            return true
        end
    end
    return false
end

numbers := [1 2 3 4 5]
print (contains numbers 3) // Prints: true
print (contains numbers 6) // Prints: false

"
"How do I delete a key-value pair from a map in Evy?
",manual_14,"del
",,,
"What are the valid specifiers for the 'printf' function?
",manual_10,"%v, %q, %%
",,,
"How do I read user input in Evy?
",manual_7,"read
",,,
"How can I convert a number to a string in Evy?
",manual_87,"x: num = 5
y: string = x.(string)   // Converts x to a string
",,,
"Create a recursive function in Evy to find the length of a string.
",manual_220,,,,"func string_length:num str:string
    if (len str) == 0
        return 0
    else
        return 1 + (string_length str[1:])
    end
end

txt := ""Evy""
print (string_length txt) // Prints: 3

"
"Can you convert this to evy for me?


class Solution:
    # def romanToInt(self, s):
    #     """"""
    #     :type s: str
    #     :rtype: int
    #     """"""
    #     roman = {'I': 1, 'V': 5, 'X': 10,
    #              'L': 50, 'C': 100, 'D': 500, 'M': 1000}
    #     result = 0
    #     last = s[-1]
    #     for t in reversed(s):
    #         if t == 'C' and last in ['D', 'M']:
    #             result -= roman[t]
    #         elif t == 'X' and last in ['L', 'C']:
    #             result -= roman[t]
    #         elif t == 'I' and last in ['V', 'X']:
    #             result -= roman[t]
    #         else:
    #             result += roman[t]
    #         last = t
    #     return result

    def romanToInt(self, s):
        roman = {'I': 1, 'V': 5, 'X': 10,
                 'L': 50, 'C': 100, 'D': 500, 'M': 1000}
        prev, total = 0, 0
        for c in s:
            curr = roman[c]
            total += curr
            # need to subtract
            if curr > prev:
                total -= 2 * prev
            prev = curr
        return total



",manual_235,,,,"func romanToInt:num s:string
    roman := {I:1 V:5 X:10 L:50 C:100 D:500 M:1000}
    prev := 0
    total := 0
    for c := range s
        curr := roman[c]
        total = total + curr
        if curr > prev
            total = total - (2 * prev)
        end
        prev = curr
    end
    return total
end

func test
    assert 1 (romanToInt ""I"")
    assert 4 (romanToInt ""IV"")
    assert 9 (romanToInt ""IX"")
    assert 58 (romanToInt ""LVIII"")
    assert 1994 (romanToInt ""MCMXCIV"")
end
test
"
"How can I declare a variable and let Evy infer its type?
",manual_73,"n := 1 // type inference (num)
print n
",,,
